Designator,Val,Package,MidX,MidY,Rotation,Layer
J2,Conn_02x20_Odd_Even,PinSocket_2x20_P2.54mm_Vertical,84.125,-67.85,180,bottom
C1,0.1uF,C_0402_1005Metric,115.68,-77.776544,0,top
C2,10uF,C_0402_1005Metric,116.22,-82.9,0,top
C3,0.1uF,C_0402_1005Metric,116.7,-69.876544,0,top
C4,22uF,C_0402_1005Metric,121.6,-71.676544,0,top
C5,10uF,C_0402_1005Metric,107.32,-111.3,180,top
C6,10uF,C_0402_1005Metric,126.2,-94.3,90,top
D1,GREEN,LED_0805_2012Metric,99.0625,-68.5,180,top
D2,ORANGE,LED_0805_2012Metric,110.6,-109.3625,-90,top
D3,GREEN,LED_0805_2012Metric,115.1,-109.3625,-90,top
D4,RED,LED_0805_2012Metric,119.6,-109.3625,-90,top
J1,Conn_01x02,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,97.4,-95.9,0,top
J3,Conn_01x02,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,92.3,-78.2,0,top
J4,Conn_01x02,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,97.4,-89,0,top
J5,Conn_01x02,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,97.4,-103.3,0,top
J6,USB_B_Mini,USB_Mini-B_Lumberg_2486_01_Horizontal,114.5,-118.025,0,top
J7,BATT_IN_JST,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,130.6,-93,-90,top
J8,Conn_01x02,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,99.9,-109.9,180,top
L1,4.7uH,L_Changjiang_FNR4020S,111.3,-70.2,180,top
Q1,BSS138,SOT-23,106.7,-77.2,0,top
Q2,BSS138,SOT-23,107.7,-85.2,0,top
R1,250K,R_0201_0603Metric,118.9,-80.6,0,top
R2,3.3M,R_1206_3216Metric,115.5,-80.6,0,top
R3,10K,R_0201_0603Metric,94.945,-68.5,0,top
R4,1K,R_0201_0603Metric,110.6,-106.245,90,top
R5,10K,R_0201_0603Metric,103.655,-85.2,0,top
R6,10K,R_0201_0603Metric,101.28,-85.1,180,top
R7,10K,R_0201_0603Metric,106.68,-82,0,top
R8,10K,R_0201_0603Metric,105.5,-73.245,90,top
R9,1K,R_0201_0603Metric,115.1,-106.27,90,top
R10,2K,R_0201_0603Metric,116.3,-92.425,90,top
R11,1K,R_0201_0603Metric,119.6,-106.245,90,top
R12,10K,R_0201_0603Metric,113.5,-92.425,90,top
R13,150K,R_0201_0603Metric,111,-92.505,90,top
RT1,1K,R_0201_0603Metric,112.755,-94.925,-90,top
U1,BMP280,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,101.8,-73.8,0,top
U2,TPS61202DRC,Texas_S-PVSON-N10_ThermalVias,117.94,-72.676544,0,top
U3,MCP73833-xxx-UN,MSOP-10_3x3mm_P0.5mm,112.1,-100.3125,90,top
