Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",115.680000,-77.776544,0.000000,top
"C2","10uF","C_0402_1005Metric",116.220000,-82.900000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",116.700000,-69.876544,0.000000,top
"C4","22uF","C_0402_1005Metric",121.600000,-71.676544,0.000000,top
"C5","10uF","C_0402_1005Metric",107.320000,-111.300000,180.000000,top
"C6","10uF","C_0402_1005Metric",126.200000,-94.300000,90.000000,top
"D1","GREEN","LED_0805_2012Metric",99.062500,-68.500000,180.000000,top
"D2","ORANGE","LED_0805_2012Metric",110.600000,-109.362500,-90.000000,top
"D3","GREEN","LED_0805_2012Metric",115.100000,-109.362500,-90.000000,top
"D4","RED","LED_0805_2012Metric",119.600000,-109.362500,-90.000000,top
"J1","Conn_01x02","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",97.400000,-95.900000,0.000000,top
"J3","Conn_01x02","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",92.300000,-78.200000,0.000000,top
"J4","Conn_01x02","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",97.400000,-89.000000,0.000000,top
"J5","Conn_01x02","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",97.400000,-103.300000,0.000000,top
"J6","USB_B_Mini","USB_Mini-B_Lumberg_2486_01_Horizontal",114.500000,-118.025000,0.000000,top
"J7","BATT_IN_JST","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",130.600000,-93.000000,-90.000000,top
"J8","Conn_01x02","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",99.900000,-109.900000,180.000000,top
"L1","4.7uH","L_Changjiang_FNR4020S",111.300000,-70.200000,180.000000,top
"Q1","BSS138","SOT-23",106.700000,-77.200000,0.000000,top
"Q2","BSS138","SOT-23",107.700000,-85.200000,0.000000,top
"R1","250K","R_0201_0603Metric",118.900000,-80.600000,0.000000,top
"R2","3.3M","R_1206_3216Metric",115.500000,-80.600000,0.000000,top
"R3","10K","R_0201_0603Metric",94.945000,-68.500000,0.000000,top
"R4","1K","R_0201_0603Metric",110.600000,-106.245000,90.000000,top
"R5","10K","R_0201_0603Metric",103.655000,-85.200000,0.000000,top
"R6","10K","R_0201_0603Metric",101.280000,-85.100000,180.000000,top
"R7","10K","R_0201_0603Metric",106.680000,-82.000000,0.000000,top
"R8","10K","R_0201_0603Metric",105.500000,-73.245000,90.000000,top
"R9","1K","R_0201_0603Metric",115.100000,-106.270000,90.000000,top
"R10","2K","R_0201_0603Metric",116.300000,-92.425000,90.000000,top
"R11","1K","R_0201_0603Metric",119.600000,-106.245000,90.000000,top
"R12","10K","R_0201_0603Metric",113.500000,-92.425000,90.000000,top
"R13","150K","R_0201_0603Metric",111.000000,-92.505000,90.000000,top
"RT1","1K","R_0201_0603Metric",112.755000,-94.925000,-90.000000,top
"U1","BMP280","Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering",101.800000,-73.800000,0.000000,top
"U2","TPS61202DRC","Texas_S-PVSON-N10_ThermalVias",117.940000,-72.676544,0.000000,top
"U3","MCP73833-xxx-UN","MSOP-10_3x3mm_P0.5mm",112.100000,-100.312500,90.000000,top
